id,title,login_require,overview,vote_average,adult,backdrop_path,movie_id,original_language,original_title,popularity,poster_path,release_date,video,vote_count,status,trailer_url
75,Atlas,0,A brilliant counterterrorism analyst with a deep distrust of AI discovers it might be her only hope when a mission to capture a renegade robot goes awry.,6.845,0,/3TNSoa0UHGEzEz5ndXGjJVKo8RJ.jpg,614933,en,Atlas,304.357,/bcM2Tl5HlsvPBnL8DKP9Ie6vU4r.jpg,2024-05-23,0,1038,1,https://www.youtube.com/watch?v=Jokpt_LJpbw
76,An Ideal Father,0,"Michel, the jovial owner of the only café in a small Normandy town, sees his life turned upside down when his teenage daughter is murdered. The community has his back but soon rumor spreads and Michel is singled out. From the ideal father, he becomes the ideal culprit.",6.53,0,/iafs5DG5fGq7ef0acl3xlX4BFrs.jpg,1219685,fr,Un père idéal,338.73,/4xJd3uwtL1vCuZgEfEc8JXI9Uyx.jpg,2024-04-21,0,67,1,
77,No Time to Spy: A Loud House Movie,0,"Lincoln and the Louds are ecstatic to welcome their new Gran-Gran, Myrtle, into the family with a tropical wedding celebration; but the festivities are cut short when an old nemesis from Myrtle's secret agent past appears on the island.",6.538,0,/sWWw1xLUwlWodY7xO16YE5dmLrX.jpg,1280768,en,No Time to Spy: A Loud House Movie,236.164,/mh4Mk95u7fdY4D4t5kRGQpQbVFy.jpg,2024-06-21,0,26,1,https://www.youtube.com/watch?v=3gPGMqXUFl0
78,Dune: Part Two,0,"Follow the mythic journey of Paul Atreides as he unites with Chani and the Fremen while on a path of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the known universe, Paul endeavors to prevent a terrible future only he can foresee.",8.2,0,/xOMo8BRK7PfcJv9JCnx7s5hj0PX.jpg,693134,en,Dune: Part Two,334.46,/1pdfLvkbY9ohJlCjQH2CZjjYVvJ.jpg,2024-02-27,0,4972,1,https://www.youtube.com/watch?v=U2Qp5pL3ovA
79,Coraline,0,"Wandering her rambling old house in her boring new town, 11-year-old Coraline discovers a hidden door to a strangely idealized version of her life. In order to stay in the fantasy, she must make a frighteningly real sacrifice.",7.875,0,/hofnlIyF6bePkgQOpcuRWLvzf15.jpg,14836,en,Coraline,329.316,/4jeFXQYytChdZYE9JYO7Un87IlW.jpg,2009-02-05,0,7683,1,https://www.youtube.com/watch?v=T6iQnnHNF50
80,Goyo,0,"A young autistic museum guide lives by a strict routine — until he falls in love with his coworker and must confront a whirlwind of new, intense emotions.",6.767,0,/adAJDB2Au3x5ve2YyWaEYy4EUw.jpg,1191610,es,Goyo,315.626,/fCjC1RRbEJUpDjM55RNUMXQen0b.jpg,2024-06-27,0,45,1,
81,MR-9: Do or Die,0,Elite Bangladeshi CIA agent Masud Rana – codename MR-9 – teams up with an American CIA operative to bring down an international criminal organization headed by a ruthless businessman.,6.481,0,/fZv4EldEPurSz0d2uVIoL4Sng8x.jpg,1016346,bn,MR-9: Do or Die,276.625,/yF2g3MDacpZTMywh97qghW6Y0H4.jpg,2023-08-25,0,132,1,https://www.youtube.com/watch?v=EpI8--h_czU
82,Bionic,0,"When the progress of robotics makes Paralympic athletes the new sports stars, Maria dreams of competing against her sister. For that, she will have to enter a world of crime and violence.",5.893,0,/k9X79JC2dDTcSpxuKJ3p2Teq3oZ.jpg,1025463,pt,Biônicos,214.905,/4nrNEM0wmWTBtepCoobvkHQqNKm.jpg,2024-05-28,0,121,1,https://www.youtube.com/watch?v=RTeuhVG7LXg
83,Spider-Man: Across the Spider-Verse,0,"After reuniting with Gwen Stacy, Brooklyn’s full-time, friendly neighborhood Spider-Man is catapulted across the Multiverse, where he encounters the Spider Society, a team of Spider-People charged with protecting the Multiverse’s very existence. But when the heroes clash on how to handle a new threat, Miles finds himself pitted against the other Spiders and must set out on his own to save those he loves most.",8.351,0,/kVd3a9YeLGkoeR50jGEXM6EqseS.jpg,569094,en,Spider-Man: Across the Spider-Verse,276.404,/8Vt6mWEReuy4Of61Lnj5Xj704m8.jpg,2023-05-31,0,6597,1,https://www.youtube.com/watch?v=yFrxzaBLDQM
84,The Last Kumite,0,"When Karate champion Michael Rivers wins the last tournament of his career, shady businessman Ron Hall offers him the opportunity to fight in an illegal Kumite in Bulgaria against the world’s best martial artists.  When Michael declines, Hall has his daughter kidnapped and, in order to rescue her, Rivers is left with no choice but to compete in the deadly tournament. Arriving in Bulgaria, he finds out that he is not the only fighter whose loved one was taken. Rivers enlists the help of trainers Master Loren, and Julie Jackson but will it be enough for him to win the tournament and save his daughter’s life?",7.012,0,/g5Ha2DhXIuxsUl4gaDnbw3jOAlo.jpg,1115623,en,The Last Kumite,253.531,/zDkaJgsPoSqa2cMe2hW2HAfyWwO.jpg,2024-05-09,0,86,1,https://www.youtube.com/watch?v=R1VeyLrVaIo
